nwid,filename
NWD512527,7802997179_R08C01.gtc.txt
NWD616566,8391296068_R01C01.gtc.txt
NWD195644,8478359011_R07C01.gtc.txt
NWD177508,8391296159_R04C01.gtc.txt
NWD478763,8391288081_R05C01.gtc.txt
NWD754253,8391288054_R07C01.gtc.txt
NWD566238,7757321164_R05C01.gtc.txt
NWD694554,7778712048_R01C01.gtc.txt
NWD162733,7778704056_R04C01.gtc.txt
NWD169857,7778712020_R07C01.gtc.txt
NWD214806,8391309014_R03C01.gtc.txt
NWD746853,8391296103_R05C01.gtc.txt
NWD357066,7778704001_R03C01.gtc.txt
NWD891718,7778712015_R03C01.gtc.txt
NWD720988,8391253152_R04C01.gtc.txt
NWD926156,8391261046_R05C01.gtc.txt
NWD417949,8391309004_R01C01.gtc.txt
NWD140224,8391309024_R02C01.gtc.txt
NWD798155,8495044031_R07C01.gtc.txt
NWD330457,8490981067_R08C01.gtc.txt
NWD875311,8478359161_R04C01.gtc.txt
NWD971037,8478359178_R01C01.gtc.txt
NWD577025,7822710006_R07C01.gtc.txt
NWD144516,7802997148_R08C01.gtc.txt
NWD398458,8391296068_R08C01.gtc.txt
NWD564154,7800254025_R08C01.gtc.txt
NWD616303,7802997049_R03C01.gtc.txt
NWD296765,7802989091_R05C01.gtc.txt
NWD752925,7823704003_R08C01.gtc.txt
NWD479101,7778704072_R02C01.gtc.txt
NWD965377,7778712074_R06C01.gtc.txt
NWD675983,8391245132_R06C01.gtc.txt
NWD962522,7778691025_R03C01.gtc.txt
NWD812840,8391270012_R04C01.gtc.txt
NWD626021,7731172155_R08C01.gtc.txt
NWD129334,8391309006_R08C01.gtc.txt
NWD294426,8490981062_R04C01.gtc.txt
NWD248184,8391309005_R05C01.gtc.txt
NWD779940,8391270168_R04C01.gtc.txt
NWD583837,8490981059_R05C01.gtc.txt
NWD404414,7802997121_R04C01.gtc.txt
NWD793885,7802989026_R04C01.gtc.txt
NWD883310,8391270131_R04C01.gtc.txt
